,id,text,newest_id,oldest_id,result_count,next_token,withheld
0,1390249608144642053,@BertramZ @a_nnaschneider @Captain_Gerri Nur hat Deutschland bloß 1 Promille aller Köpfe weltweit.,,,,,
1,1390249590385938439,"https://t.co/BqkH55kI9f: Stock changed from ""Auf Lager, ausschließlich Versand"" to ""Ware neu eingetroffen, in Kürze versandfertig, ausschließlich Versand"" at 12:18:26.412+02:00 https://t.co/1TL4eo4xc8 [A] #rx6000tracking_region_de #rx6000tracking_oos #RX6000 #Radeon",,,,,
2,1390249588443992066,Mdls a vontade de ser caprichete grita  https://t.co/ZjdZLG2pl3,,,,,
3,1390249583851233281,"@sefid_info @hundert_a @SHomburg @BfV_Bund offensichtlich wissen sie überhaupt nicht, wie das in den USA mit Bundesrichter:innen läuft: 

- Nominierung durch Präsident:in (= 1 Person)
- Bestätigung durch Senat mit einfacher Mehrheit (nicht 2/3 wie in D)
- Ernennung auf Lebenszeit (nicht 12 J)

https://t.co/nTcg6vcp4R",,,,,
4,1390249583188619264,"BM f. Justiz: Was macht die Justiz gegen #Vorurteilskriminalität?
U.a. ""ist im Aus- u. Fortbildungsbereich v. Richter*innen u. Staatsanwält*innen eine umfassende Sensibilisierung zum Thema #Antisemitismus und Vorurteilskriminalität vorgesehen"".
https://t.co/SfUjV99TEm @Alma_Zadic https://t.co/aOYuZesKE6",,,,,
5,1390249575559188480,@angstvordir @eat_a_brick_h0e hab schnell gewichst,,,,,
6,1390249568982519809,"Thomas Carle: https://t.co/gwE99sLBhC ""If You WANT: Follow on Instagram for more Inspiration."" -  Deine einzelnen Melderpunkte bilden die Augen und Fühler Deiner Alarmanlage."" | Danke: R. König | 3008 | For a secure World. Thomas
#security
#alarmanlage https://t.co/vrWVLP4xM7",,,,,
7,1390249554302361601,"@ntvde Damit kann sich ein ""Sie kennen mich!"" à la Merkel oder Kretschmann nicht manifestieren. Neue Leute bringen neue Sichtweisen ins Spiel und sorgen für weniger ""Berufskanzler"" - könnte man sogar auf Abgeordnete ausweiten.",,,,,
8,1390249540565995520,@S_a_b_i_h_a_a Güno https://t.co/jQCJ63fgJt,,,,,
9,1390249539764989963,RT @NZZ: Am 13. Juni stimmt die Schweiz über die #PestizidInitiative ab. Wer steckt eigentlich hinter dem Anliegen? Manche Urheber sind kau…,,,,,
10,1390249529128128513,A bissal Speicher 🤤 https://t.co/b5mGIdTzLV,,,,,
11,1390249520559267854,"@SvenjaSchulze68 @OlafScholz und aus gegebenem Anlass https://t.co/S6UJNg9PUT 
Für das 1.5 Grad Ziel - das eigentliche müsst ihr noch ordentlich Schippen drauflegen @spdbt @cducsubt  @GrueneBundestag @dieLinke @RegierungBW @CDU_BW @GrueneBW",,,,,
12,1390249513571528704,"❤️🙏❤️ #DogeDay Hör dir Delectatio - Numinous [Silk Music] von Monstercat Silk an auf #SoundCloud
https://t.co/dl3koY8mpW",,,,,
13,1390249500271333377,"Gleich (ab 13 Uhr) ist Veronika Burian @VikBurian unser Gast auf #Clubhouse. Wir freuen uns sehr! Wir sprechen u. a. über Frauen im Typedesign und @Alphabettes_org. 🤸‍♀️ Host ist @CathAvak. Schaut vorbei!
https://t.co/o31wn0zVgf",,,,,
14,1390249497423351819,"RT @maxinejijiesOFC: ""Don't under estimate the heart of a champion, Maxpein.""

- Deib Lohr

#HesIntoHer | @maxinejiji https://t.co/5Sssgr5i…",,,,,
15,1390249487273271299,"Ich habe von den letzten 10 Jahren einige Monate in Krankenhäusern verbracht, hatte deshalb u.a. 2 Infektionen mit Multiresistenten. Das einzige Mal, dass der Aufenthalt fast nett war, war als ich aus Bettennot auf „Privatstation“ lag. Mit Holtvertäfelung und eigenem Kühlschrank https://t.co/P71D7DoIzg",,,,,
