,id,text,newest_id,oldest_id,result_count,next_token,withheld
0,1389578527595507714,"RT @stefanhensel: @Hoellenaufsicht Die Star Trek-Welt ist auch interessanter. Außerdem haben sich die Macherïnnen viele Gedanken gemacht, w…",,,,,
1,1389578514043703298,"Bis einer durchdreht a la Lübcke, aber dann will es wieder niemand gewesen sein. https://t.co/MQOyA28bJs",,,,,
2,1389578468690702346,A 3a TEMPORADA DE EU VI SYACWVSHZUGHHSGSGWGAHHSH https://t.co/nYi7ypMt2u,,,,,
3,1389578431273349124,"RT @DichJasmin: 8/13

Produziert vom SR (@SRKommunikation) und mit diesem Text u.a. angepriesen vom NDR (@NDRpresse). Und an diese richte i…",,,,,
4,1389578390085242887,"meine fav songs playlist auf spotify ist sooo random... zuerst kommen so drei songs von den böhsen onkelz, dannach lil peep, dannach jay jiggy, dannach money boy und gzuz und dann xatar und dann fucking system of a down und noch mehr weird shit xD",,,,,
5,1389578344975331337,"Rund 30 Feuerwehrleute haben in Goch versucht, eine kalbende Kuh aus der Niers zu retten. Während das Junge während der Aktion starb, konnte das Muttertier an Land gebracht, musste später jedoch eingeschläfert werden. https://t.co/EVLSkBLA6K https://t.co/wNmfPNnfGN",,,,,
6,1389578339589971973,@BastibotI Also a teura Schaß 🤣🤣,,,,,
7,1389578330416959494,RT @JPFBASE: Male weeabs in a nutshell *jpf  https://t.co/fXRVz97m5s,,,,,
8,1389578311794311169,"RT @jakobblasel: Wenn wir hier in Deutschland die Klimaziele anpassen wollen, heißt es von der @CDU, wir können die Klimakrise nicht allein…",,,,,
9,1389578310989066247,M A L S I N,,,,,
10,1389578310838099972,"Mein Freund nervt manchmal. Ich liebe ihn _______ .

A) deshalb
B) trotzdem

#DeutschLernenRE  #D_Wortschatz #studyinggerman #basicgerman #basicgermanword #GermanInGlasgow #GlasgowClasses #GlasgowLearning #basicgermanvocab #lovegerman #glasgow #germanvideos #edinburghgerman",,,,,
11,1389578300171988993,"https://t.co/BqkH55kI9f: Stock changed from ""Auf Lager, ausschließlich Versand"" to ""Artikel kann derzeit nicht gekauft werden"" at 15:50:58.332+02:00 https://t.co/xcs78eczlE [A] #rx6000tracking_region_de #rx6000tracking_oos #RX6000 #Radeon",,,,,
12,1389578293888929792,"RT @Hallaschka_HH: (Fast) Alle Verbotsforderungen der #GRÜNEN in einer Liste von 
A utowerbung bis
Z igarettenautomaten 

Es fehlen ISDN-Ve…",,,,,
13,1389578290969591808,@a_nnaschneider @Marius9696 Das Aberkennen der Grundrechte wird als Verbrechen dieser Regierung in die Geschichte eingehen.,,,,,
14,1389578289535234052,"@annapjudson @EllieMRoberts Don't forget the hyphen, though. Otherwise you get a Bügelei, which, I guess, is the event or act of ironing (analog to Zauberei, Prügelei, etc.).",,,,,
15,1389578278835470340,"RT @publiceye_ch: JETZT LIVE: https://t.co/IIiEL4juBB
Diskussion rund um den heiss debattierten Antrag für die temporäre Aufhebung der geis…",,,,,
16,1389578269456994304,"Wie gewohnt, gibt es kurz vor Feierabend unsere News: @Trustly verschiebt Börsengang &amp; weitere Nachrichten u.a. von @bunq, @TWINT_AG, @glsbank, @PayPalDE, @PostFinance, @Swissquote 

https://t.co/kZHz5ocUea https://t.co/XYgzSGC2Xz",,,,,
17,1389578261135560710,"@Hoaxmistress Ich bin eher so Schiene Reenactment.Ich vermisse unsere Mittelaltermärkte, v.a. #Freienfels und #Satzvey.
Dort treffe ich eigentlich seit 28 Jahren ""Familie"". https://t.co/w85lmsLlg6",,,,,
18,1389578253862641666,"Kein Abstand, kaum Masken: Tausende feierten Rockfestival in Wuhan https://t.co/2mIyeWyN4I via @derspiegel",,,,,
