,id,text,newest_id,oldest_id,result_count,next_token,withheld
0,1393717561917857792,"@jtimberlake @djkhaled The injustice of one place is a threat to justice everywhere.

Bir yerin adaletsizliği, her yerde adalete bir tehdittir.

L'injustice d'un endroit est une menace pour la justice partout.

Die Ungerechtigkeit eines Ortes ist überall eine Bedrohung für die Gerechtigkeit.
#HearGaze",,,,,
1,1393717474504413189,@B3n_spl @H3shu4 @nero_c_h_a_n_ @mevlingo Klingt echt nice. Wärst du nicht in Österreich hätte ich dich mal eingeladen 🥲,,,,,
2,1393717430527037440,RT @NotHoodlum: Hitler coined the expression ‘A Big Lie’ große Lüge in Mein Kampf. Appropriate his fan club would redeploy this propaganda.…,,,,,
3,1393717395831803914,"@KingJames @MountainDewRise The injustice of one place is a threat to justice everywhere.

Bir yerin adaletsizliği, her yerde adalete bir tehdittir.

L'injustice d'un endroit est une menace pour la justice partout.

Die Ungerechtigkeit eines Ortes ist überall eine Bedrohung für die Gerechtigkeit.
#HearGaze",,,,,
4,1393717364487860224,RT @Football__Tweet: OFFICIAL: Robert Lewandowski has equalled Gerd Müller's record of 40 goals in a single Bundesliga season. ⚽ https://t.…,,,,,
5,1393717340513218560,"RT @kkklawitter: Wer sind die jungen Menschen, die auf die Straße gehen? Der Film begleitet sie und zeigt, wie vielfältig, schöpferisch und…",,,,,
6,1393717335672950784,RT @frabigol: VENI A JUGAR BAYERN MUNICH https://t.co/E76LCboFFQ,,,,,
7,1393717287341932544,well thatäs a storm https://t.co/gdJt1AD9ZT,,,,,
8,1393717286272487428,"RT @MOMMYMlLF: ᅠ

A N G E L  H I R A I

           https://t.co/lOBhbRAQwK          
           switch.  eighteen+.
           bisexual.  s…",,,,,
9,1393717248913772545,"@FelixRends Für Völkerrecht? Ja, ohne Zweifel. Ich betreue Doktorandinnen, die einen LLM haben. Ihre 67 würde nach unserem Masstab einer 87 entsprechen, also A (sehr gut).",,,,,
10,1393717226826571783,"@DaniBrodesser bei mir ist schon a Gruppe junger Leute mit lauter Musik nach 22 Uhr unten vorbei defiliert, mit Abstand aber ohne Maske",,,,,
11,1393717196749254662,RT @mendespier: A Samantha Schmütz expondo nos stories🗣 https://t.co/81pmmHFjRi,,,,,
12,1393717186729021441,A FOTO DAS ESTAUF9S,,,,,
13,1393717142143619075,"RT @whoisA_: More than 40% of the victims are women and children, as a result of the Israeli bombardment on Gaza. 

Mehr als 40% der Opfer…",,,,,
14,1393717131720597508,RT @NotHoodlum: Hitler coined the expression ‘A Big Lie’ große Lüge in Mein Kampf. Appropriate his fan club would redeploy this propaganda.…,,,,,
15,1393717119800467456,@mevlingo @JokerSpl_ @nero_c_h_a_n_ Hauptlage?,,,,,
16,1393717113110503425,sexcam camsex sex Neues Video: Die 3-Loch Schlampe - erstes Mal Anal XXL-Schwanz https://t.co/DnOSJll7Ri https://t.co/i9Ihelnear,,,,,
17,1393717107397910529,RT @NotHoodlum: Hitler coined the expression ‘A Big Lie’ große Lüge in Mein Kampf. Appropriate his fan club would redeploy this propaganda.…,,,,,
18,1393717102142320642,sexcam camsex sex Neues Video: Mein erstes Mal für Kohle! https://t.co/zozA5sAZXp https://t.co/cwdrVoaS6V,,,,,
19,1393717096002080769,VOY A COLPSAR FON TANTAS FOTOS AOWODMOAELOQSKAI@:&amp;(9-;&amp;9/:&amp;-@/‘alalsnznx https://t.co/hsLBBM9Czn,,,,,
20,1393717093686812675,@H3shu4 @nero_c_h_a_n_ @mevlingo Trotzdem pff. Das beste sowieso wir sind uns auf wettkämpfen save 2/3 mal begegnet hahahaha,,,,,
21,1393717078478176256,🔥 M A K E  I T  G R O Y P  🔥 https://t.co/rGYquW3w2m,,,,,
22,1393717067430469632,RT @mendespier: A Samantha Schmütz expondo nos stories🗣 https://t.co/81pmmHFjRi,,,,,
23,1393717065643700229,"Übrigens, falls es noch nicht getan wurde meinerseits: 1. Ich steh zu Israel, und ich würde mich freuen, wenn es im Nahen Osten Frieden geben würde. Aber Terror durch Raketen u. a. muß bekämpft werden.",,,,,
24,1393717061583519745,RT @mendespier: A Samantha Schmütz expondo nos stories🗣 https://t.co/81pmmHFjRi,,,,,
25,1393717045183893506,mds jaja eu posto a thread hein,,,,,
26,1393717018076004353,RT @mendespier: A Samantha Schmütz expondo nos stories🗣 https://t.co/81pmmHFjRi,,,,,
27,1393717014305419273,"@boingo_in_a_box Denn wenn einer die Wahrheit ausspricht, dann Promiflash..?",,,,,
28,1393716982508367874,Mds a Jojo Toddynho nos stories! Passei mal,,,,,
29,1393716913990213633,"RT @Eddie_1412: Wenn man die Leute nicht mitnehme, könne dies dazu führen, »dass irgendwann vielleicht die Klimaleugner die Mehrheit haben«…",,,,,
30,1393716910194372612,"RT @bicaregelincik: @GoldmanSachs @FoxNews @AmericaNewsroom @DanaPerino The injustice of one place is a threat to justice everywhere.

Bir…",,,,,
31,1393716905681240066,RT @frabigol: VENI A JUGAR BAYERN MUNICH https://t.co/E76LCboFFQ,,,,,
32,1393716898043506693,@rainwakaba @H3shu4 @nero_c_h_a_n_ @mevlingo Aayy chillig. Bei mir von anfang an competitive xD,,,,,
33,1393716832796913669,@SB_Heavy Protein powder kek a,,,,,
34,1393716831265820673,"Headquarters: Schwarze-Sonne Raumstation [Picture's shown our Headquarters]
War/History: German-Rights War [Lost]
Religion: N/A [Christianity is Ban from the Galactic Überlebenderreich]
Anthem ""Deutshlandlied"" - ""Durch Deutsches Land Marschieren Wir"" - ""H[]il Deutschland"" https://t.co/Ra0OHo5j6w",,,,,
35,1393716827201572864,"Name: Galactic Überlebenderreich
Capital: N/A
Global Rank: N/A
Location: Outer Space in the Schwarze-Sonne Raumstation [Black Sun Space Station]
Population: 547,091 [96% Germans 2% Polish 2% Others]
Currency: Reichmarks [RM]
GDP: 32.9M
Constituent State: N/A
Language: German https://t.co/MpjZXSlAz8",,,,,
36,1393716790635732993,"@JokerSpl_ @H3shu4 @nero_c_h_a_n_ @mevlingo Vor ca 3 Jahren bin ich eine Zeit lang einfach 1-2mal in der Woche j4f schwimmen gegangen
Zwar nur als Hobby haha, aber war schon ganz nice",,,,,
37,1393716774194098181,"Douglass Emhoff🤝Glauber Contessoto

https://t.co/ZnDmRTRhCm",,,,,
38,1393716740601810946,grad das erste mal requiem for a dream geschaut ok damn,,,,,
39,1393716705067737091,"@RoliBarol46 hab i a ned angenommen.
und wenn doch, wärs ma a wuascht.
verführen kannst mi nur mit autos.
:-)",,,,,
40,1393716675950809089,RT @NotHoodlum: Hitler coined the expression ‘A Big Lie’ große Lüge in Mein Kampf. Appropriate his fan club would redeploy this propaganda.…,,,,,
41,1393716642237014018,"RT @BHXX57: #N1505 #Nbg1505 #Nürnberg

Falls diese #Querdenken-Demo heute in #Nuernberg stattfinden sollte hier schon mal ein Gruß von Chri…",,,,,
42,1393716623895371779,@JokerSpl_ @nero_c_h_a_n_ @mevlingo Nicht mehr☹️,,,,,
43,1393716593931268100,"RT @bicaregelincik: @GoldmanSachs @FoxNews @AmericaNewsroom @DanaPerino The injustice of one place is a threat to justice everywhere.

Bir…",,,,,
44,1393716575866396673,"RT @BHXX57: #N1505 #Nbg1505 #Nürnberg

Falls diese #Querdenken-Demo heute in #Nuernberg stattfinden sollte hier schon mal ein Gruß von Chri…",,,,,
45,1393716564432670720,RT @mendespier: A Samantha Schmütz expondo nos stories🗣 https://t.co/81pmmHFjRi,,,,,
46,1393716564340445186,"@ValkyrieShepard Ich fühle das so sehr xD Einfach immer weiter sparen :'))) hmmmmm
OMG aber mega geil mit Diluc *A* Ich bin schwer neidisch!!!  (jaa aber welkin moon find ich sehr legit!)",,,,,
47,1393716543729643523,RT @mendespier: A Samantha Schmütz expondo nos stories🗣 https://t.co/81pmmHFjRi,,,,,
48,1393716542668517376,"@MorganStanley @Sonari The injustice of one place is a threat to justice everywhere.

Bir yerin adaletsizliği, her yerde adalete bir tehdittir.

L'injustice d'un endroit est une menace pour la justice partout.

Die Ungerechtigkeit eines Ortes ist überall eine Bedrohung für die Gerechtigkeit.
#HearGaze",,,,,
49,1393716507230810116,@unfunkwitable A FOTO DE PERFIL SKEIWNKDEIKWIS PFTTTT,,,,,
50,1393716489065205761,RT @frabigol: VENI A JUGAR BAYERN MUNICH https://t.co/E76LCboFFQ,,,,,
51,1393716484971667461,"RT @Eddie_1412: Wenn man die Leute nicht mitnehme, könne dies dazu führen, »dass irgendwann vielleicht die Klimaleugner die Mehrheit haben«…",,,,,
