,id,text,newest_id,oldest_id,result_count,next_token,withheld
0,1391543206844772353,"RT @byH_Leitenbauer: 🔱Mr. HUBERT LEITENBAUER🔱#HubertLeitenbauer
Founder #PranaEnergyTherapy®#PranaEnergieTherapie®
#Traveling #Business #MA…",,,,,
1,1391543205783605255,RT @dailybruhl: Daniel Brühl profile (A thread) https://t.co/xhXGBIvGD3,,,,,
2,1391543155607195650,"RT @AuschwitzMuseum: 9 May 1939 | A Hungarian Jewish boy, Mihaj (or Mikaj) Schön, was born.

In 1944 he was deported to #Auschwitz and murd…",,,,,
3,1391543119498211328,"RT @AuschwitzMuseum: 9 May 1939 | A Hungarian Jewish boy, Mihaj (or Mikaj) Schön, was born.

In 1944 he was deported to #Auschwitz and murd…",,,,,
4,1391543107204825090,"RT @AuschwitzMuseum: 9 May 1939 | A Hungarian Jewish boy, Mihaj (or Mikaj) Schön, was born.

In 1944 he was deported to #Auschwitz and murd…",,,,,
5,1391543056382533633,RT @derspiegel: Die Regenbogenflagge über dem Altar: In einer katholischen Kirche in Bayern haben mehrere homosexuelle Paare entgegen dem W…,,,,,
6,1391543022353977350,Corona-Krise: Christian Drosten glaubt an guten Sommer in Deutschland https://t.co/7Sn9yuYFLL,,,,,
7,1391542962270703618,@harddlv00 IM ON A HELLEVATOR BOOMBOOMBO0MVINSHEUEUDN,,,,,
8,1391542945032069122,"https://t.co/cd3B37NsTb: Stock changed from ""Artikel kann derzeit nicht gekauft werden"" to ""Auf Lager, ausschließlich Versand"" at 01:57:46.162+02:00 https://t.co/RZAdOzmla6 [A] #rtx3000tracking_region_de #RTXon #NVIDIAGeForce",,,,,
9,1391542925184618497,@EmM4rte sim MDS a Musga fala de morte,,,,,
10,1391542812601114624,"RT @Ryanintheus: Wow! ⛰ 

RT @wanderlust_pure 

The Altenalptürm Ridge  
2,033m / 6,670ft a part of Alpstein Massif in Switzerland🇨🇭 

#Swi…",,,,,
11,1391542757504782336,"Sieh dir mein dirty Video ""Geiles Loch mit Dildo und Vib verwöhnen Teil 1"" auf https://t.co/ixr6yeJiWK an. #mydirtyhobby #mdh",,,,,
12,1391542690748280835,/r/animalsbeingjerks is a gold mine https://t.co/ww89pKPnJq,,,,,
13,1391542682179231744,Diaz Lampe und Rebic Fackel in Richtung Königsklasse: Juventus - AC Mailand 0:3 | Serie A | DAZN - YouTube https://t.co/jA8gJ21aFc,,,,,
14,1391542622838157314,"RT @AuschwitzMuseum: 9 May 1939 | A Hungarian Jewish boy, Mihaj (or Mikaj) Schön, was born.

In 1944 he was deported to #Auschwitz and murd…",,,,,
15,1391542620480999425,"RT @AuschwitzMuseum: 9 May 1939 | A Hungarian Jewish boy, Mihaj (or Mikaj) Schön, was born.

In 1944 he was deported to #Auschwitz and murd…",,,,,
16,1391542596443545600,Wockesha is a fckn bop,,,,,
17,1391542578294710274,Terry rozier is a #hooper,,,,,
18,1391542578244378630,"RT @NiemaMovassat: ""Dass ausgerechnet der Vorsitzende der #Gruenen, die sich mal als Friedenspartei gegründet hatten, ein Bekenntnis zum Kr…",,,,,
19,1391542574876397575,"RT @travviedavid: Wenn dieser böse Bass kickt... ""Yeah hoe bitch I break a hoe yeah yeah hoe"" wird mein Ende sein @ShirinDavid https://t.co…",,,,,
20,1391542535550550021,"Sommer für einen Tag.
12 Bilder 
https://t.co/0A041SusfO",,,,,
21,1391542500440084481,RT @newslanes: ABBA new music coming in 2021 confirms Björn Ulvaeus: ‘Such a strong bond between us’ https://t.co/edryConigt,,,,,
22,1391542494165409794,RT @jonworth: Happy Europe Day from a sunny Eichwerder Moorweisen - along the Mauerweg north of Berlin https://t.co/4Tv7FmPNrt,,,,,
23,1391542469054058505,RT @GeorgineKellerm: Es ist NORMAL trans zu sein. Und es ist total NORMAL anders zu sein. 💃💃💃 Just a reminder. 🥰 https://t.co/AX5Zzwqvj7,,,,,
