,id,text,newest_id,oldest_id,result_count,next_token,withheld
0,1389951418711281668,"RT @_Kittypunk: Der SPIEGEL mal wieder mit einer betrügerischen Überschrift. Der Rotmilan ""bremst"" nicht die Energiewende, er will einfach…",,,,,
1,1389951415792119810,"@Yankees_Rule_ @HIRAETHCORE @prageru ""all tax reports delivering substance for a tax obligation by the Führer are annulled from the start. The Führer is therefore tax-exempt""",,,,,
2,1389951405465735174,"Wir kriegen anfang Juni die Ergebnisse.. bis dahin bereit ich mich einfach mental drauf vor gefailed zu haben und hab dann ein win/win weil a) bin nicht soo sad wenn das der fall ist, b) wenn ich doch gut genug war freu ich mich umso mehr 🥴",,,,,
3,1389951403771240453,"Zweiter Kanzlerkandidat auf ProSieben: Zervakis und Klamroth interviewen Olaf Scholz https://t.co/aeLt5wk8NK Es ist erst objektiv Berichtet wenn von ""allen im Bundestag vertretenen Parteien"" die Kanzlerkandidaten, Führungsspitzen eingeladen und dieselben Fragen gestellt werden!",,,,,
4,1389951395692957700,Ich möchte betonen: Ein fast wahrer Tatsachenbericht über Langzeitfolgen von #Homeoffice Viel Vergnügen. https://t.co/9CCfGr1Uvx,,,,,
5,1389951392022888450,"RT @moodarada: 2 RICH MOMMIES.
&amp; A RICH HAMSTER.

#MAMAMOO #마마무 #moonbyul #문별 #studio문나잇 @rbw_mamamoo #BrownEyedGirls #MIRYO #JeA https://t…",,,,,
6,1389951377686863876,"RT @AJCBerlin: Ernüchternd: Ein Drittel der Deutschen meint, dass der Einfluss der USA eine größere Bedrohung für die Demokratie in 🇩🇪 dars…",,,,,
7,1389951332103057419,RT @minahomine: Our lan er gege is such a beast #modaozushi #魔道祖师 https://t.co/5pfRJ3OUHQ,,,,,
8,1389951331436277761,"RT @LennartPfahler: Dienstag: @FridayForFuture-Sprecherin sagt, die ARD müsse Volker Bruch rauswerfen. Weil Querdenker = vom BfV beobachtet…",,,,,
9,1389951325643943939,"💡 Wichtige Info:
a) Typ links steht nur fürs Foto dort, verpackt hats wer andrer
b) Leute ohne Plattenspieler hängens an die Wand
c) Bandana passt auf jede Stirn
d) Fotoheftl ohne Text, damit mas nach 10 🍺 no lesn kann
e) Pickerl = Stoßstangengeeignet
➔ https://t.co/kMhQMGAOKe https://t.co/uFfiTcjK8C",,,,,
10,1389951306966528002,"Die chinesische Regierung ist ein verbrecherisches Regime. Die EU sollte dringend ihr Verhältnis dazu klären.

https://t.co/CdHfz81Fuy https://t.co/aFwe5PXjtf",,,,,
11,1389951279477178371,RT @petterich: Boehringer spielt auch ganz bewusst mit Verschwörungsmythen wie dem des #greatreset.Auf seinem Youtubekanal diskutiert er u.…,,,,,
12,1389951275639443457,"Riesenmotte ausgerechnet an einem Ort, der ""Mount-Cotton"" benannt ist. Kann man sich nicht ausdenken, muss daher wahr sein: 

https://t.co/zR94ifvYha",,,,,
13,1389951274666369024,Jetzt auf #ewm: I Say A Little Prayer von #Aretha Franklin ... jetzt einschalten: https://t.co/nx7SsnblXX #eswirdmorgen #lautfm,,,,,
14,1389951270753079298,Sollten Schwangere gegen COVID-19 geimpft werden? 🤰🙄💉 https://t.co/rA5FbEXgNf #Schwangerschaft #COVID19 #Impfung,,,,,
15,1389951270308417539,"Der Klinikverbund Gesundheit Nord (#Geno) arbeitet an seiner Sanierung; dabei wird die Zeit langsam knapp. In spätestens 3 Jahren soll eine ausgeglichene Bilanz vorliegen. Dabei spielt auch #Personalumbau eine Rolle, so Geschäftsführerin Dreizehnter. https://t.co/cTddCaXCWK",,,,,
16,1389951269893197829,@Ben5kk @hornochsr er meinte mal er will sich nicht in den a$$ seggsen lassen 😔🚬,,,,,
